iter	Logloss
0	0.6012669806
1	0.5425539704
2	0.5042564814
3	0.443058487
4	0.429009939
5	0.4079340408
6	0.3887055703
7	0.3751188114
8	0.3597599738
9	0.3411854788
10	0.3397713187
11	0.3379559058
12	0.3303430073
13	0.3222726474
14	0.3122133054
15	0.3050409321
16	0.2989893958
17	0.2900630043
18	0.2883428046
19	0.2846496237
20	0.2790747182
21	0.2748071469
22	0.270586915
23	0.2691405535
24	0.2647634421
25	0.2631372388
26	0.258228749
27	0.2531826948
28	0.245612011
29	0.2434658169
30	0.2413448762
31	0.2395554883
32	0.2372631988
33	0.2333375238
34	0.2303185336
35	0.2263581684
36	0.2241031865
37	0.223913503
38	0.2231710497
39	0.2212594726
40	0.2187513821
41	0.2170152534
42	0.2145393386
43	0.2102209373
44	0.2075728711
45	0.2036210396
46	0.2018907902
47	0.2003496826
48	0.1981437155
49	0.1951809067
