iter	Passed	Remaining
0	2	135
1	5	121
2	11	182
3	18	212
4	20	186
5	27	200
6	36	226
7	42	221
8	46	212
9	50	203
10	52	186
11	54	173
12	58	167
13	63	163
14	67	158
15	71	152
16	75	146
17	79	141
18	83	136
19	87	130
20	91	125
21	94	120
22	100	117
23	103	112
24	108	108
25	112	103
26	121	103
27	130	102
28	136	98
29	140	93
30	145	89
31	152	85
32	160	82
33	166	78
34	172	74
35	177	68
36	184	64
37	187	59
38	194	54
39	202	50
40	210	46
41	214	40
42	220	35
43	224	30
44	228	25
45	233	20
46	237	15
47	241	10
48	245	5
49	250	0
